epoch,accuracy,loss,val_accuracy,val_loss
0,0.3772488236427307,1.3220428228378296,0.4322766661643982,1.2713730335235596
1,0.6581788063049316,0.9667279124259949,0.651296854019165,0.9264441728591919
2,0.7924162745475769,0.5772392749786377,0.6945244669914246,0.8049771785736084
3,0.8405756950378418,0.42673882842063904,0.6743515729904175,0.7900528907775879
4,0.8823692202568054,0.33484190702438354,0.7031700015068054,0.8385622501373291
5,0.9036811590194702,0.27550768852233887,0.6916426420211792,0.8861980438232422
6,0.920011043548584,0.23213687539100647,0.6829971075057983,0.9455965757369995
7,0.9357874393463135,0.19468481838703156,0.6887608170509338,0.981244683265686
8,0.947965681552887,0.16802766919136047,0.680115282535553,1.0360018014907837
9,0.9609742760658264,0.13811354339122772,0.6657060384750366,1.109081506729126
10,0.9612510204315186,0.12629063427448273,0.6858789920806885,1.1491496562957764
11,0.9678937196731567,0.11253124475479126,0.6714697480201721,1.2079499959945679
12,0.9703847169876099,0.10496563464403152,0.6685879230499268,1.230461835861206
13,0.9698311686515808,0.09998559206724167,0.6772334575653076,1.2773710489273071
14,0.9701079726219177,0.09538440406322479,0.6743515729904175,1.3270514011383057
15,0.9709382653236389,0.09179814904928207,0.6772334575653076,1.3697333335876465
16,0.975089967250824,0.08512141555547714,0.6657060384750366,1.3930044174194336
17,0.973706066608429,0.08506228774785995,0.6685879230499268,1.3915117979049683
18,0.9748131632804871,0.07261514663696289,0.6714697480201721,1.4607131481170654
19,0.9753667116165161,0.08236479759216309,0.6743515729904175,1.490804672241211
20,0.977027416229248,0.07542982697486877,0.6772334575653076,1.4693230390548706
21,0.9792416095733643,0.06630430370569229,0.6829971075057983,1.5393084287643433
22,0.976473867893219,0.07142401486635208,0.6772334575653076,1.5444508790969849
23,0.9761970639228821,0.06615334749221802,0.6829971075057983,1.5166493654251099
24,0.975643515586853,0.06435033679008484,0.6685879230499268,1.527868390083313
